Nome,Setor,Bairro,Cidade,CEP,Endereço,Telefone,Estado,E-mail
"         São Pedro Apóstolo – Xaxim        "," Setor Pinheirinho"," Xaxim"," Curitiba"," 81.810-010"," Rua Engenheiro Wladislau Dec, 1045"," (41) 3346-7475 Fax: (41) 3346-6427"," Paraná"," pspedroapostolo@mitradecuritiba.org.br"
"         São Lucas e Nossa Senhora do Carmo &#8211; Xaxim        "," Pinheirinho"," Xaxim"," Curitiba "," 81.830-080"," Rua Constantino José de Almeida, 329"," (41) 3275-7832 Fax: (41) 3275-7832"," Paraná"," saolucas@mitradecuritiba.org.br"
"         Capelania Militar Nossa Senhora das Vitórias        "," Pinheirinho"," Pinheirinho"," Curitiba"," 81.150-280"," Rua Trinta e Um de Março"," (41) 3316-4800"," Paraná"," capelania@5rm.eb.mil.br"
"         Nossa Senhora do Rosário de Fatima &#8211; CIC        "," Pinheirinho"," Cidade Industrial "," Curitiba"," 81.460-237 "," Rua Bety Moreira Pacheco, 37 "," (41) 3053-9327"," Paraná","  fatimacic@mitradecuritiba.org.br"
"         Menino Jesus de Praga – Vila Lindóia        "," Setor Portão"," Vila Lindóia"," Curitiba"," 81.010-200"," Av. Santa Bernardete, 1013"," (41) 3246-8074  Fax: (41) 3246-8074"," Paraná"," pmjp@mitradecuritiba.org.br"
"         Nossa Senhora da Conceição – Vila Fanny        "," Setor Portão"," Vila Fanny"," Curitiba"," 81.030-000"," Rua Omilio Monteiro Soares, 847"," (41) 3333-1612 Fax: (41) 3333-1612"," Paraná"," conceicaofanny@mitradecuritiba.org.br"
"         Nossa Senhora da Ternura (pd)        "," Setor Portão"," Vila Santa Isabel"," Curitiba"," 80.320-090"," Rua Professor Ulisses Vieira, 621"," (41) 3242-5575"," Paraná"," nossasenhoraternura@mitradecuritiba.org.br"
"         Sagrada Familia – Novo Mundo        "," Setor Portão"," Novo Mundo"," Curitiba"," 81.020-120"," Rua João Stenzowski, 100"," (41) 3246-4664 Fax: (41) 3246-4664"," Paraná"," psagradaf@mitradecuritiba.org.br"
"         Santa Isabel – Vila Izabel        "," Setor Portão"," Santa Izabel"," Curitiba"," 80.320-090"," Rua Profº Ulisses Vieira, 621"," (41) 3242-5575"," Paraná"," paroquiasantaisabel@mitradecuritiba.org.br"
"         São Cristovão – Vila Guaira        "," Setor Portão"," Vila Guaíra"," Curitiba"," 80.630-120"," Rua Santa Catarina, 1750"," (41) 3329-4757 Fax: (41) 3329-4757"," Paraná"," scristovao@mitradecuritiba.org.br"
"         São Jorge        "," Setor Portão"," Portão"," Curitiba"," 81.070-150"," Rua Itacolomi, 1840"," (41) 3329-8662 Fax: (41) 3345-6707"," Paraná"," saojorge@mitradecuritiba.org.br"
"         Senhor Bom Jesus – Portão        "," Setor Portão"," Portão"," Curitiba"," 81.070-000"," João Betega, 206"," (41) 3329-3468"," Paraná"," pbjesuspor@mitradecuritiba.org.br"
"         Santa Quitéria &#8211; Santa Quitéria        "," Portão"," Santa Quiteria"," Curitiba"," 80.310-230"," Rua Prof. Fabio de Souza, 1126"," (41) 3345-6855 Fax: (41) 3345-6855"," Paraná"," santaquiteria@mitradecuritiba.org.br"
"         Imaculada Conceição – Guabirotuba        "," Setor Rebouças"," Guabirotuba"," Curitiba"," 81.520-260"," Rua Dr. Alcides Vieira Arcoverde, 244"," (41) 3296-3765 Fax: (41) 3296-3765"," Paraná"," imaculadacuritiba@mitradecuritiba.org.br"
"         Imaculado Coração de Maria        "," Setor Rebouças"," Rebouças"," Curitiba"," 80.250-180"," Av. Pres. Getúlio Vargas, 1193"," (41) 3224-9574 Fax: (41) 3224-8537"," Paraná"," pcormaria@mitradecuritiba.org.br"
"         Nossa Senhora de Lourdes – Jardim Botânico        "," Setor Rebouças"," Jardim Botânico"," Curitiba"," 80.210-180"," Praça Itália, 183"," (41) 3262-2774 Fax: (41) 3262-1008"," Paraná"," secretbotanico@mitradecuritiba.org.br"
"         Nossa Senhora do Rocio        "," Setor Rebouças"," Rebouças"," Curitiba"," 80.220-180"," Rua Chile, 1526"," (41) 3332-6265 Fax: (41) 3332-6265"," Paraná"," rocio@mitradecuritiba.org.br"
"         Sagrado Coração de Jesus – Água Verde        "," Setor Rebouças"," Água Verde"," Curitiba"," 80.620-200"," Av. Água Verde, 1018"," (41) 3242-4174 Fax: (41) 3242-4174"," Paraná"," secretariapscj@mitradecuritiba.org.br"
"         Santa Catarina Labouré        "," Setor Rebouças"," Água Verde"," Curitiba"," 80.620-070"," Rua Mato Grosso, 588"," (41) 3342-6455 Fax: (41) 3342-6455"," Paraná"," laboure159@mitradecuritiba.org.br"
"         Santo Antônio – Parolin        "," Setor Rebouças"," Vila Parolin"," Curitiba"," 80.220-051"," Rua Alferes Poli, 3390"," (41) 3205-5320"," Paraná"," pstoantonioparolin@mitradecuritiba.org.br"
"         São Carlos Borromeu – Jardim das Américas        "," Setor Rebouças"," Jardim das Américas"," Curitiba"," 81.530-310"," Rua Heitor de Andrade, 219"," (41) 3266-0949 Fax: (41) 3266-0949"," Paraná"," saocarlosborromeu@mitradecuritiba.org.br"
"         São João Batista &#8211; Rebouças        "," Rebouças"," Rebouças"," Curitiba"," 80.215-160"," Rua Baltazar Carrasco dos Reis, 698"," (41) 3013-0150 Fax: (41) 3013-0150"," Paraná"," pjb1994@mitradecuritiba.org.br"
"         Universitária Jesus Mestre        "," Rebouças"," Prado Velho"," Curitiba"," 80.215-030"," Rua Imaculada Conceição, 1155"," (41) 3271-1601 Fax: (41) 3271-1601"," Paraná"," jesusmestre@mitradecuritiba.org.br"
"         Bom Pastor – Vista Alegre        "," Setor Santa Felicidade"," Vista Alegre"," Curitiba"," 80.810-340"," Rua Victório Viezzer, 810"," (41) 3335-5552"," Paraná"," bompastorigreja@mitradecuritiba.org.br"
"         Imaculada Conceição – Campo Magro        "," Setor Santa Felicidade"," Centro"," Campo Magro"," 83.535-000"," Rua Lia Garbacio, 1"," (41)  3677-1124 Fax: (41) 3677-1124"," Paraná"," imaculadacm@mitradecuritiba.org.br"
"         Nossa Senhora Aparecida – Campo Magro        "," Setor Santa Felicidade"," Jardim Boa Vista I"," Campo Magro"," 83.535-000"," Rua das Camélias, 400"," (41) 3677-8617 Fax: (41) 3677-8617"," Paraná"," aparecidacm@mitradecuritiba.org.br"
"         Nossa Senhora da Conceição – Butiatuvinha        "," Setor Santa Felicidade"," Butiatuvinha"," Curitiba"," 82.320-650"," Rua Arturo Seppi, 51"," (41) 3272-1082 Fax: (41) 3272-1082"," Paraná"," pnsc@mitradecuritiba.org.br"
"         Nossa Senhora do Bom Conselho        "," Setor Santa Felicidade"," São Braz"," Curitiba"," 82.315-300"," Eduardo Jarnick, 273"," (41) 3089-4485 Fax: (41) 2105-6300"," Paraná"," bconselho@mitradecuritiba.org.br"
"         Santa Margarida – Santa Felicidade        "," Setor Santa Felicidade"," Santa Felicidade"," Curitiba"," 82.020-250"," Rua José Valle, 1160"," (41) 3297-2092 Fax: (41) 3297-3060"," Paraná"," margaridamartir@mitradecuritiba.org.br"
"         São Braz – São Braz        "," Setor Santa Felicidade"," São Braz"," Curitiba"," 82.300-490"," Rua Antonio Scorsin, 1840"," (41) 3024-1310 Fax: (41) 3024-1310"," Paraná"," paroquiasaobraz@mitradecuritiba.org.br"
"         São Marcos – Pilarzinho        "," Setor Santa Felicidade"," Pilarzinho"," Curitiba"," 82.120-500"," Rua Roberto Gava, 310"," (41) 3338-4450 Fax: (41) 3338-4450"," Paraná"," saomarcos@mitradecuritiba.org.br"
"         Santo Inácio Martir &#8211; Santo Inácio        "," Santa Felicidade"," Santo Inácio"," Curitiba"," 82.010-680"," Rua Pedro Klassa, 210"," (41) 3272-5925 Fax: (41) 3272-5925"," Paraná"," santoinacio@mitradecuritiba.org.br"
"         São José &#8211; Santa Felicidade        "," Santa Felicidade"," Santa Felicidade"," Curitiba"," 82.020-000"," Av. Manoel Ribas, 6252"," (41) 3372-1417 Fax: (41) 3372-1417"," Paraná"," paroquiasantafelicidade@mitradecuritiba.org.br"
